source	line	path_token	exists	resolved_path
nexus	5	Memory/03-resurrection-plan-v2.1.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\03-resurrection-plan-v2.1.md
nexus	5	Memory/HARD-COPY-PLAN.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\HARD-COPY-PLAN.md
nexus	20	docs	True	C:\Users\raest\Documents\Karma_SADE\docs
nexus	62	Vesper	True	C:\Users\raest\Documents\Karma_SADE\Vesper
nexus	78	hub-bridge	True	C:\Users\raest\Documents\Karma_SADE\hub-bridge
nexus	78	anr-vault-search	True	C:\Users\raest\Documents\Karma_SADE\anr-vault-search
nexus	78	vault-api	True	C:\Users\raest\Documents\Karma_SADE\vault-api
nexus	82	hub_bridge	True	C:\Users\raest\Documents\Karma_SADE\hub_bridge
nexus	93	Vesper	True	C:\Users\raest\Documents\Karma_SADE\Vesper
nexus	106	tests	True	C:\Users\raest\Documents\Karma_SADE\tests
nexus	127	tools	True	C:\Users\raest\Documents\Karma_SADE\tools
nexus	130	Vesper	True	C:\Users\raest\Documents\Karma_SADE\Vesper
nexus	144	tools	True	C:\Users\raest\Documents\Karma_SADE\tools
nexus	147	Vesper	True	C:\Users\raest\Documents\Karma_SADE\Vesper
nexus	155	docs/wip/preclaw1/preclaw1/src	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src
nexus	156	Karma2/map/preclaw1-gap-map.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\map\preclaw1-gap-map.md
nexus	176	tools/AgentTool/	False	C:\Users\raest\Documents\Karma_SADE\tools\AgentTool\
nexus	179	plugins	True	C:\Users\raest\Documents\Karma_SADE\plugins
nexus	186	Vesper	True	C:\Users\raest\Documents\Karma_SADE\Vesper
nexus	191	Memory/00-sacred-context.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\00-sacred-context.md
nexus	216	gsd/codex-cascade-audit.md	False	C:\Users\raest\Documents\Karma_SADE\gsd\codex-cascade-audit.md
nexus	216	gsd/phase-cascade-pipeline-PLAN.md	False	C:\Users\raest\Documents\Karma_SADE\gsd\phase-cascade-pipeline-PLAN.md
nexus	216	gsd/codex-nexusplan.md	False	C:\Users\raest\Documents\Karma_SADE\gsd\codex-nexusplan.md
nexus	231	plugins	True	C:\Users\raest\Documents\Karma_SADE\plugins
nexus	253	Memory	True	C:\Users\raest\Documents\Karma_SADE\Memory
nexus	257	Memory	True	C:\Users\raest\Documents\Karma_SADE\Memory
nexus	268	Memory	True	C:\Users\raest\Documents\Karma_SADE\Memory
nexus	313	Memory/00-sacred-context.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\00-sacred-context.md
nexus	314	Memory/00-karma-system-prompt-live.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\00-karma-system-prompt-live.md
nexus	314	hub-bridge	True	C:\Users\raest\Documents\Karma_SADE\hub-bridge
nexus	315	Memory/01-capability-inventory.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\01-capability-inventory.md
nexus	316	Memory/02-extracted-primitives.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\02-extracted-primitives.md
nexus	317	docs/ForColby/nexus.md	True	C:\Users\raest\Documents\Karma_SADE\docs\ForColby\nexus.md
nexus	318	Memory/HARD-COPY-PLAN.md	True	C:\Users\raest\Documents\Karma_SADE\Memory\HARD-COPY-PLAN.md
nexus	323	Karma2/map/preclaw1-gap-map.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\map\preclaw1-gap-map.md
nexus	324	Karma2/cc-scope-index.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\cc-scope-index.md
nexus	325	Karma2/primitives/INDEX.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\primitives\INDEX.md
nexus	326	Karma2/map/services.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\map\services.md
nexus	327	Karma2/map/file-structure.md	True	C:\Users\raest\Documents\Karma_SADE\Karma2\map\file-structure.md
nexus	332	docs/wip/preclaw1/preclaw1/src/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\
nexus	333	docs/wip/preclaw1/preclaw1/src/commands/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\commands\
nexus	334	docs/wip/preclaw1/preclaw1/src/components/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\components\
nexus	335	docs/wip/preclaw1/preclaw1/src/tools/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\tools\
nexus	335	tools	True	C:\Users\raest\Documents\Karma_SADE\tools
nexus	336	docs/wip/preclaw1/preclaw1/src/services/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\services\
nexus	337	docs/wip/preclaw1/preclaw1/src/utils/settings/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\utils\settings\
nexus	338	docs/wip/preclaw1/preclaw1/src/hooks/	False	C:\Users\raest\Documents\Karma_SADE\docs\wip\preclaw1\preclaw1\src\hooks\
nexus	343	docs/anthropic-docs/	True	C:\Users\raest\Documents\Karma_SADE\docs\anthropic-docs\
nexus	344	docs/anthropic-docs/claude-code/	True	C:\Users\raest\Documents\Karma_SADE\docs\anthropic-docs\claude-code\
nexus	344	docs	True	C:\Users\raest\Documents\Karma_SADE\docs
nexus	345	docs/anthropic-docs/agent-sdk/	True	C:\Users\raest\Documents\Karma_SADE\docs\anthropic-docs\agent-sdk\
nexus	345	docs	True	C:\Users\raest\Documents\Karma_SADE\docs
nexus	346	docs/anthropic-docs/api/	True	C:\Users\raest\Documents\Karma_SADE\docs\anthropic-docs\api\
nexus	347	docs/anthropic-docs/build-with-claude/	True	C:\Users\raest\Documents\Karma_SADE\docs\anthropic-docs\build-with-claude\
nexus	352	docs/ccSessions/from-cc-sessions/	True	C:\Users\raest\Documents\Karma_SADE\docs\ccSessions\from-cc-sessions\
